arm,scene,layouts,episodes,SR,CR,TR,ERR,CR_unknown,penalised_time,SR_ci_low,SR_ci_high,CR_ci_low,CR_ci_high,time_ci_low,time_ci_high
bayes_full,baseline_circle,100,300,97.33,2.67,0.00,0.00,0.00,10.306,,,,,,
bayes_full,baseline_square,100,300,93.33,6.00,0.67,0.00,0.00,10.775,,,,,,
bayes_full,dense_circle,100,300,93.33,6.67,0.00,0.00,0.00,12.220,,,,,,
bayes_full,dense_square,100,300,74.67,24.00,1.33,0.00,0.00,15.978,,,,,,
bayes_full,large_circle,100,300,97.33,2.33,0.33,0.00,0.00,15.448,,,,,,
bayes_full,large_square,100,300,90.00,10.00,0.00,0.00,0.00,12.224,,,,,,
bayes_full,MACRO,,,91.00,8.61,0.39,0.00,0.00,12.825,89.111,92.833,6.833,10.500,12.537,13.123
shmpc_shared,baseline_circle,100,300,17.67,1.00,81.33,0.00,0.00,23.494,,,,,,
shmpc_shared,baseline_square,100,300,0.00,60.00,40.00,0.00,0.00,25.000,,,,,,
shmpc_shared,dense_circle,100,300,0.67,6.00,93.33,0.00,0.00,24.953,,,,,,
shmpc_shared,dense_square,100,300,0.00,89.00,11.00,0.00,0.00,25.000,,,,,,
shmpc_shared,large_circle,100,300,0.33,2.67,97.00,0.00,0.00,24.995,,,,,,
shmpc_shared,large_square,100,300,0.00,90.00,10.00,0.00,0.00,25.000,,,,,,
shmpc_shared,MACRO,,,3.11,41.44,55.44,0.00,0.00,24.740,2.000,4.333,39.111,43.778,24.637,24.836
tmpc_shared,baseline_circle,100,300,20.67,5.00,74.33,0.00,0.00,22.457,,,,,,
tmpc_shared,baseline_square,100,300,6.00,58.67,35.33,0.00,0.00,24.387,,,,,,
tmpc_shared,dense_circle,100,300,11.00,16.33,72.67,0.00,0.00,23.979,,,,,,
tmpc_shared,dense_square,100,300,0.00,90.67,9.33,0.00,0.00,25.000,,,,,,
tmpc_shared,large_circle,100,300,29.33,21.33,49.33,0.00,0.00,23.746,,,,,,
tmpc_shared,large_square,100,300,2.00,86.33,11.67,0.00,0.00,24.841,,,,,,
tmpc_shared,MACRO,,,11.50,46.39,42.11,0.00,0.00,24.068,9.444,13.778,43.667,49.056,23.857,24.261
