arm,condition,radius,first_entry_rate,clean_first_entry_rate,median_time_s
bayes_full,full,0.25,60.67,60.67,10.50
bayes_full,full,0.5,91.00,91.00,10.50
bayes_full,full,1.0,91.06,91.06,10.00
bayes_full,occluded,0.25,60.00,60.00,10.75
bayes_full,occluded,0.5,89.06,89.06,10.75
bayes_full,occluded,1.0,89.11,89.11,10.25
bayes_r1,occluded,0.25,61.06,61.00,11.00
bayes_r1,occluded,0.5,89.44,89.39,10.75
bayes_r1,occluded,1.0,89.50,89.44,10.25
shmpc_shared,full,0.25,1.33,1.33,16.25
shmpc_shared,full,0.5,3.50,3.50,16.50
shmpc_shared,full,1.0,3.94,3.94,15.75
shmpc_shared,occluded,0.25,0.67,0.67,16.38
shmpc_shared,occluded,0.5,2.94,2.94,16.25
shmpc_shared,occluded,1.0,3.17,3.17,15.25
tmpc_shared,full,0.25,6.39,6.39,18.50
tmpc_shared,full,0.5,20.78,20.78,16.25
tmpc_shared,full,1.0,35.72,35.72,15.00
tmpc_shared,occluded,0.25,5.83,5.83,16.75
tmpc_shared,occluded,0.5,21.56,21.56,15.00
tmpc_shared,occluded,1.0,34.00,34.00,14.75
