arm,scene,layouts,episodes,SR,CR,TR,ERR,CR_unknown,penalised_time,SR_ci_low,SR_ci_high,CR_ci_low,CR_ci_high,time_ci_low,time_ci_high
bayes_full,baseline_circle,100,300,97.67,2.33,0.00,0.00,0.00,10.289,,,,,,
bayes_full,baseline_square,100,300,89.33,10.33,0.33,0.00,0.00,11.352,,,,,,
bayes_full,dense_circle,100,300,91.00,9.00,0.00,0.00,0.00,12.656,,,,,,
bayes_full,dense_square,100,300,70.67,28.33,1.00,0.00,0.00,16.672,,,,,,
bayes_full,large_circle,100,300,98.00,2.00,0.00,0.00,0.00,15.333,,,,,,
bayes_full,large_square,100,300,87.67,12.33,0.00,0.00,0.00,12.648,,,,,,
bayes_full,MACRO,,,89.06,10.72,0.22,0.00,0.00,13.158,86.944,91.000,8.778,12.833,12.855,13.475
bayes_r1,baseline_circle,100,300,98.00,2.00,0.00,0.00,0.00,10.236,,,,,,
bayes_r1,baseline_square,100,300,89.67,10.00,0.33,0.00,0.00,11.292,,,,,,
bayes_r1,dense_circle,100,300,90.67,9.33,0.00,0.00,0.00,12.761,,,,,,
bayes_r1,dense_square,100,300,72.67,26.33,1.00,0.00,0.00,16.419,,,,,,
bayes_r1,large_circle,100,300,98.00,1.67,0.33,0.00,0.00,15.318,,,,,,
bayes_r1,large_square,100,300,87.33,12.67,0.00,0.00,0.00,12.740,,,,,,
bayes_r1,MACRO,,,89.39,10.33,0.28,0.00,0.00,13.128,87.222,91.389,8.389,12.444,12.826,13.443
shmpc_shared,baseline_circle,100,300,14.67,1.33,84.00,0.00,0.00,23.776,,,,,,
shmpc_shared,baseline_square,100,300,0.00,60.00,40.00,0.00,0.00,25.000,,,,,,
shmpc_shared,dense_circle,100,300,0.33,6.00,93.67,0.00,0.00,24.977,,,,,,
shmpc_shared,dense_square,100,300,0.00,89.00,11.00,0.00,0.00,25.000,,,,,,
shmpc_shared,large_circle,100,300,0.00,7.33,92.67,0.00,0.00,25.000,,,,,,
shmpc_shared,large_square,100,300,0.00,90.00,10.00,0.00,0.00,25.000,,,,,,
shmpc_shared,MACRO,,,2.50,42.28,55.22,0.00,0.00,24.792,1.444,3.611,39.944,44.611,24.697,24.878
tmpc_shared,baseline_circle,100,300,24.67,4.00,71.33,0.00,0.00,21.863,,,,,,
tmpc_shared,baseline_square,100,300,4.00,57.00,39.00,0.00,0.00,24.604,,,,,,
tmpc_shared,dense_circle,100,300,13.00,11.67,75.33,0.00,0.00,23.960,,,,,,
tmpc_shared,dense_square,100,300,0.00,91.33,8.67,0.00,0.00,25.000,,,,,,
tmpc_shared,large_circle,100,300,24.33,23.33,52.33,0.00,0.00,23.929,,,,,,
tmpc_shared,large_square,100,300,2.00,87.67,10.33,0.00,0.00,24.823,,,,,,
tmpc_shared,MACRO,,,11.33,45.83,42.83,0.00,0.00,24.030,9.278,13.556,43.167,48.500,23.819,24.224
