case,people,scene,index,layout_hash,arm,status,event,success,collision,timeout,penalty,nav_time,min_clearance,steps,stopped_steps,eligible_person_steps,visible_person_steps,total_person_steps,geometry_rejected,risk_permitted,actuator_violations,workspace_excursion_steps
8000003,5,circle_crossing,3,4c1e2083fe100ecc,MAP,ok,reach_goal,1,0,0,9.25,9.25,0.18225882516160297,37,0,55,112,163,13166,64285,0,0
8000003,5,circle_crossing,3,4c1e2083fe100ecc,IID,ok,reach_goal,1,0,0,9.25,9.25,0.16574483543245644,37,0,60,111,163,11479,63405,0,0
8000003,5,circle_crossing,3,4c1e2083fe100ecc,FULL,ok,reach_goal,1,0,0,9.25,9.25,0.16574483543245644,37,0,60,111,163,11473,63398,0,0
8000003,5,circle_crossing,3,4c1e2083fe100ecc,O,ok,reach_goal,1,0,0,9.5,9.5,0.13609177973352238,38,0,0,108,168,0,0,0,0
8000003,5,circle_crossing,3,4c1e2083fe100ecc,CV,ok,reach_goal,1,0,0,9.25,9.25,0.1745941568344911,37,0,57,110,163,12158,65040,0,0
8000003,5,circle_crossing,3,4c1e2083fe100ecc,TREE,ok,reach_goal,1,0,0,9.25,9.25,0.1349601481138677,37,0,56,109,163,12712,64555,0,0
8000000,5,circle_crossing,0,6ccec10313857ad3,O,ok,reach_goal,1,0,0,11.25,11.25,0.1166109836649355,45,0,0,144,203,0,0,0,0
8000000,5,circle_crossing,0,6ccec10313857ad3,CV,ok,reach_goal,1,0,0,10.75,10.75,0.13731811678675987,43,0,95,140,193,7590,58695,0,0
8000000,5,circle_crossing,0,6ccec10313857ad3,TREE,ok,reach_goal,1,0,0,10.5,10.5,0.148719661565462,42,0,85,137,188,6892,55269,0,0
8000000,5,circle_crossing,0,6ccec10313857ad3,MAP,ok,reach_goal,1,0,0,10.75,10.75,0.13651213654483518,43,0,88,137,193,7442,56945,0,0
8000000,5,circle_crossing,0,6ccec10313857ad3,IID,ok,reach_goal,1,0,0,11.0,11.0,0.12870624867169245,44,0,96,138,198,7549,55556,0,0
8000000,5,circle_crossing,0,6ccec10313857ad3,FULL,ok,reach_goal,1,0,0,10.5,10.5,0.15777344724782338,42,0,92,138,188,6883,57540,0,0
8000002,5,circle_crossing,2,22662826e01f8bd5,TREE,ok,reach_goal,1,0,0,13.25,13.25,0.1482060435506224,53,0,124,182,254,14457,79909,0,0
